observation_date,BAMLC0A0CMEY
2008-01-02,5.66
2008-01-03,5.67
2008-01-04,5.63
2008-01-07,5.63
2008-01-08,5.65
2008-01-09,5.64
2008-01-10,5.72
2008-01-11,5.63
2008-01-14,5.62
2008-01-15,5.56
2008-01-16,5.57
2008-01-17,5.53
2008-01-18,5.52
2008-01-21,5.52
2008-01-22,5.41
2008-01-23,5.37
2008-01-24,5.56
2008-01-25,5.50
2008-01-28,5.50
2008-01-29,5.56
2008-01-30,5.62
2008-01-31,5.54
2008-02-01,5.49
2008-02-04,5.52
2008-02-05,5.44
2008-02-06,5.47
2008-02-07,5.57
2008-02-08,5.51
2008-02-11,5.50
2008-02-12,5.56
2008-02-13,5.56
2008-02-14,5.65
2008-02-15,5.64
2008-02-18,5.64
2008-02-19,5.75
2008-02-20,5.81
2008-02-21,5.68
2008-02-22,5.69
2008-02-25,5.81
2008-02-26,5.77
2008-02-27,5.76
2008-02-28,5.66
2008-02-29,5.54
2008-03-03,5.55
2008-03-04,5.63
2008-03-05,5.75
2008-03-06,5.75
2008-03-07,5.72
2008-03-10,5.69
2008-03-11,5.92
2008-03-12,5.83
2008-03-13,5.90
2008-03-14,5.80
2008-03-17,5.75
2008-03-18,5.90
2008-03-19,5.83
2008-03-20,5.84
2008-03-21,
2008-03-24,6.01
2008-03-25,5.97
2008-03-26,5.94
2008-03-27,5.98
2008-03-28,5.94
2008-03-31,5.91
2008-04-01,6.03
2008-04-02,6.05
2008-04-03,6.05
2008-04-04,5.92
2008-04-07,5.97
2008-04-08,5.95
2008-04-09,5.86
2008-04-10,5.93
2008-04-11,5.87
2008-04-14,5.89
2008-04-15,5.94
2008-04-16,6.06
2008-04-17,6.10
2008-04-18,6.09
2008-04-21,6.04
2008-04-22,6.03
2008-04-23,6.02
2008-04-24,6.13
2008-04-25,6.15
2008-04-28,6.09
2008-04-29,6.06
2008-04-30,5.99
2008-05-01,5.98
2008-05-02,6.03
2008-05-05,6.01
2008-05-06,6.04
2008-05-07,6.00
2008-05-08,5.93
2008-05-09,5.90
2008-05-12,5.91
2008-05-13,6.05
2008-05-14,6.08
2008-05-15,5.99
2008-05-16,5.99
2008-05-19,5.96
2008-05-20,5.91
2008-05-21,5.97
2008-05-22,6.09
2008-05-23,6.01
2008-05-26,6.01
2008-05-27,6.11
2008-05-28,6.18
2008-05-29,6.23
2008-05-30,6.20
2008-05-31,6.20
2008-06-02,6.12
2008-06-03,6.05
2008-06-04,6.09
2008-06-05,6.15
2008-06-06,6.06
2008-06-09,6.18
2008-06-10,6.32
2008-06-11,6.28
2008-06-12,6.43
2008-06-13,6.47
2008-06-16,6.45
2008-06-17,6.41
2008-06-18,6.34
2008-06-19,6.42
2008-06-20,6.37
2008-06-23,6.43
2008-06-24,6.38
2008-06-25,6.38
2008-06-26,6.34
2008-06-27,6.32
2008-06-30,6.38
2008-07-01,6.42
2008-07-02,6.38
2008-07-03,6.38
2008-07-04,6.38
2008-07-07,6.34
2008-07-08,6.32
2008-07-09,6.30
2008-07-10,6.30
2008-07-11,6.47
2008-07-14,6.40
2008-07-15,6.40
2008-07-16,6.51
2008-07-17,6.62
2008-07-18,6.67
2008-07-21,6.66
2008-07-22,6.70
2008-07-23,6.74
2008-07-24,6.60
2008-07-25,6.69
2008-07-28,6.61
2008-07-29,6.63
2008-07-30,6.65
2008-07-31,6.59
2008-08-01,6.56
2008-08-04,6.58
2008-08-05,6.60
2008-08-06,6.64
2008-08-07,6.52
2008-08-08,6.54
2008-08-11,6.60
2008-08-12,6.53
2008-08-13,6.57
2008-08-14,6.52
2008-08-15,6.49
2008-08-18,6.46
2008-08-19,6.49
2008-08-20,6.46
2008-08-21,6.52
2008-08-22,6.57
2008-08-25,6.51
2008-08-26,6.52
2008-08-27,6.50
2008-08-28,6.54
2008-08-29,6.54
2008-08-31,6.56
2008-09-01,6.56
2008-09-02,6.50
2008-09-03,6.47
2008-09-04,6.43
2008-09-05,6.47
2008-09-08,6.48
2008-09-09,6.44
2008-09-10,6.52
2008-09-11,6.59
2008-09-12,6.72
2008-09-15,6.78
2008-09-16,7.13
2008-09-17,7.16
2008-09-18,7.29
2008-09-19,7.44
2008-09-22,7.42
2008-09-23,7.50
2008-09-24,7.48
2008-09-25,7.70
2008-09-26,7.87
2008-09-29,7.67
2008-09-30,7.81
2008-10-01,7.79
2008-10-02,7.89
2008-10-03,7.92
2008-10-06,7.84
2008-10-07,7.98
2008-10-08,8.30
2008-10-09,8.50
2008-10-10,8.92
2008-10-13,8.92
2008-10-14,8.76
