FRED Graph Observations,Unnamed: 1,Unnamed: 2,FRED Graph Observations.1,Unnamed: 9,Unnamed: 10
Federal Reserve Economic Data,,,Federal Reserve Economic Data,,
Link: https://fred.stlouisfed.org,,,Link: https://fred.stlouisfed.org,,
Help: https://fred.stlouisfed.org/help-faq,,,Help: https://fred.stlouisfed.org/help-faq,,
Economic Research Division,,,Economic Research Division,,
Federal Reserve Bank of St. Louis,,,Federal Reserve Bank of St. Louis,,
AAA,"Moody's Seasoned Aaa Corporate Bond Yield, Percent, Annual, Not Seasonally Adjusted",,BAA,"Moody's Seasoned Baa Corporate Bond Yield, Percent, Annual, Not Seasonally Adjusted",
Frequency: Annual,"Moody's Seasoned Aaa Corporate Bond Yield, Percent, Annual, Not Seasonally Adjusted",,Frequency: Annual,"Moody's Seasoned Baa Corporate Bond Yield, Percent, Annual, Not Seasonally Adjusted",
observation_date,AAA,% Rate,observation_date,BAA,
1919-01-01 00:00:00,5.73,0.057300000000000004,1919-01-01 00:00:00,7.77,0.07769999999999999
1920-01-01 00:00:00,6.26,0.0626,1920-01-01 00:00:00,8.56,0.08560000000000001
1921-01-01 00:00:00,5.5,0.055,1921-01-01 00:00:00,7.61,0.0761
1922-01-01 00:00:00,5.08,0.0508,1922-01-01 00:00:00,7.02,0.0702
1923-01-01 00:00:00,5.09,0.0509,1923-01-01 00:00:00,7.38,0.0738
1924-01-01 00:00:00,4.95,0.0495,1924-01-01 00:00:00,6.46,0.0646
1925-01-01 00:00:00,4.85,0.048499999999999995,1925-01-01 00:00:00,6.15,0.061500000000000006
1926-01-01 00:00:00,4.68,0.046799999999999994,1926-01-01 00:00:00,5.68,0.056799999999999996
1927-01-01 00:00:00,4.46,0.0446,1927-01-01 00:00:00,5.32,0.053200000000000004
1928-01-01 00:00:00,4.61,0.0461,1928-01-01 00:00:00,5.6,0.055999999999999994
1929-01-01 00:00:00,4.67,0.0467,1929-01-01 00:00:00,5.95,0.059500000000000004
1930-01-01 00:00:00,4.52,0.0452,1930-01-01 00:00:00,6.71,0.06709999999999999
