Date,MutualFunds_Close,Fund,Price,Close,High,Low,Open,Volume
2008-01-02,3.1980390548706055,ACEIX,,,,,,
2008-01-03,3.2016735076904297,ACEIX,,,,,,
2008-01-04,3.161698579788208,ACEIX,,,,,,
2008-01-07,3.1798696517944336,ACEIX,,,,,,
2008-01-08,3.165332555770874,ACEIX,,,,,,
2008-01-09,3.187138080596924,ACEIX,,,,,,
2008-01-10,3.1980390548706055,ACEIX,,,,,,
2008-01-11,3.1798696517944336,ACEIX,,,,,,
2008-01-14,3.190772294998169,ACEIX,,,,,,
2008-01-15,3.1471614837646484,ACEIX,,,,,,
2008-01-16,3.1398937702178955,ACEIX,,,,,,
2008-01-17,3.0853819847106934,ACEIX,,,,,,
2008-01-18,3.0672106742858887,ACEIX,,,,,,
2008-01-22,3.0345046520233154,ACEIX,,,,,,
2008-01-23,3.063575267791748,ACEIX,,,,,,
2008-01-24,3.074479103088379,ACEIX,,,,,,
2008-01-25,3.0417721271514893,ACEIX,,,,,,
2008-01-28,3.078113555908203,ACEIX,,,,,,
2008-01-29,3.0890164375305176,ACEIX,,,,,,
2008-01-30,3.074479103088379,ACEIX,,,,,,
2008-01-31,3.117875337600708,ACEIX,,,,,,
2008-02-01,3.1616337299346924,ACEIX,,,,,,
2008-02-04,3.1470465660095215,ACEIX,,,,,,
2008-02-05,3.0814077854156494,ACEIX,,,,,,
2008-02-06,3.077760934829712,ACEIX,,,,,,
2008-02-07,3.0814077854156494,ACEIX,,,,,,
2008-02-08,3.0668206214904785,ACEIX,,,,,,
2008-02-11,3.0741145610809326,ACEIX,,,,,,
2008-02-12,3.0923478603363037,ACEIX,,,,,,
2008-02-13,3.1142287254333496,ACEIX,,,,,,
2008-02-14,3.0850541591644287,ACEIX,,,,,,
2008-02-15,3.0887019634246826,ACEIX,,,,,,
2008-02-19,3.0814077854156494,ACEIX,,,,,,
2008-02-20,3.0850541591644287,ACEIX,,,,,,
2008-02-21,3.0704681873321533,ACEIX,,,,,,
2008-02-22,3.0850541591644287,ACEIX,,,,,,
2008-02-25,3.1105797290802,ACEIX,,,,,,
2008-02-26,3.128812789916992,ACEIX,,,,,,
2008-02-27,3.128812789916992,ACEIX,,,,,,
2008-02-28,3.10693359375,ACEIX,,,,,,
2008-02-29,3.0688939094543457,ACEIX,,,,,,
2008-03-03,3.061577081680298,ACEIX,,,,,,
2008-03-04,3.0469467639923096,ACEIX,,,,,,
2008-03-05,3.043288469314575,ACEIX,,,,,,
2008-03-06,2.995737314224243,ACEIX,,,,,,
2008-03-07,2.9811058044433594,ACEIX,,,,,,
2008-03-10,2.948185443878174,ACEIX,,,,,,
2008-03-11,3.00671124458313,ACEIX,,,,,,
