Peak month  (Peak Quarter),Trough month (Trough Quarter),Unnamed: 2,Unnamed: 3,Contraction,Expansion,Cycle (Trough to Trough),Cycle 2 (Peak to Peak)
1860-10-01,1861-06-01,730.0,738,8,22,30,40.0
1865-04-01,1867-12-01,784.0,816,32,46,78,54.0
1869-06-01,1870-12-01,834.0,852,18,18,36,50.0
1873-10-01,1879-03-01,886.0,951,65,34,99,52.0
1882-03-01,1885-05-01,987.0,1025,38,36,74,101.0
1887-03-01,1888-04-01,1047.0,1060,13,22,35,60.0
1890-07-01,1891-05-01,1087.0,1097,10,27,37,40.0
1893-01-01,1894-06-01,1117.0,1134,17,20,37,30.0
1895-12-01,1897-06-01,1152.0,1170,18,18,36,35.0
1899-06-01,1900-12-01,1194.0,1212,18,24,42,42.0
1902-09-01,1904-08-01,1233.0,1256,23,21,44,39.0
1907-05-01,1908-06-01,1289.0,1302,13,33,46,56.0
1910-01-01,1912-01-01,1321.0,1345,24,19,43,32.0
1913-01-01,1914-12-01,1357.0,1380,23,12,35,36.0
1918-08-01,1919-03-01,1424.0,1431,7,44,51,67.0
1920-01-01,1921-07-01,1441.0,1459,18,10,28,17.0
1923-05-01,1924-07-01,1481.0,1495,14,22,36,40.0
1926-10-01,1927-11-01,1522.0,1535,13,27,40,41.0
1929-08-01,1933-03-01,1556.0,1599,43,21,64,34.0
1937-05-01,1938-06-01,1649.0,1662,13,50,63,93.0
1945-02-01,1945-10-01,1742.0,1750,8,80,88,93.0
1948-11-01,1949-10-01,1787.0,1798,11,37,48,45.0
1953-07-01,1954-05-01,1843.0,1853,10,45,55,56.0
1957-08-01,1958-04-01,1892.0,1900,8,39,47,49.0
1960-04-01,1961-02-01,1924.0,1934,10,24,34,32.0
1969-12-01,1970-11-01,2040.0,2051,11,106,117,116.0
1973-11-01,1975-03-01,2087.0,2103,16,36,52,47.0
1980-01-01,1980-07-01,2161.0,2167,6,58,64,74.0
1981-07-01,1982-11-01,2179.0,2195,16,12,28,18.0
1990-07-01,1991-03-01,2287.0,2295,8,92,100,108.0
2001-03-01,2001-11-01,2415.0,2423,8,120,128,128.0
2007-12-01,2009-06-01,2496.0,2514,18,73,91,81.0
2020-02-01,2020-04-01,2642.0,2644,2,128,130,146.0
