Year,Price per oz,Source for pre-1970: https://nma.org/wp-content/uploads/2016/09/historic_gold_prices_1833_pres.pdf (average price for year)
1927,20.64,Source for 1970-Current: LBMA Gold prices per oz
1928,20.66,Source for 1970-Current: LBMA Gold prices per oz
1929,20.63,Source for 1970-Current: LBMA Gold prices per oz
1930,20.65,Source for 1970-Current: LBMA Gold prices per oz
1931,17.06,Source for 1970-Current: LBMA Gold prices per oz
1932,20.69,Source for 1970-Current: LBMA Gold prices per oz
1933,26.33,Source for 1970-Current: LBMA Gold prices per oz
1934,34.69,Source for 1970-Current: LBMA Gold prices per oz
1935,34.84,Source for 1970-Current: LBMA Gold prices per oz
1936,34.87,Source for 1970-Current: LBMA Gold prices per oz
1937,34.79,Source for 1970-Current: LBMA Gold prices per oz
1938,34.85,Source for 1970-Current: LBMA Gold prices per oz
1939,34.42,Source for 1970-Current: LBMA Gold prices per oz
1940,33.85,Source for 1970-Current: LBMA Gold prices per oz
1941,33.85,Source for 1970-Current: LBMA Gold prices per oz
1942,33.85,Source for 1970-Current: LBMA Gold prices per oz
1943,33.85,Source for 1970-Current: LBMA Gold prices per oz
1944,33.85,Source for 1970-Current: LBMA Gold prices per oz
1945,34.71,Source for 1970-Current: LBMA Gold prices per oz
1946,34.71,Source for 1970-Current: LBMA Gold prices per oz
1947,34.71,Source for 1970-Current: LBMA Gold prices per oz
1948,34.71,Source for 1970-Current: LBMA Gold prices per oz
1949,31.69,Source for 1970-Current: LBMA Gold prices per oz
1950,34.72,Source for 1970-Current: LBMA Gold prices per oz
1951,34.72,Source for 1970-Current: LBMA Gold prices per oz
1952,34.6,Source for 1970-Current: LBMA Gold prices per oz
1953,34.84,Source for 1970-Current: LBMA Gold prices per oz
1954,35.04,Source for 1970-Current: LBMA Gold prices per oz
1955,35.03,Source for 1970-Current: LBMA Gold prices per oz
1956,34.99,Source for 1970-Current: LBMA Gold prices per oz
1957,34.95,Source for 1970-Current: LBMA Gold prices per oz
1958,35.1,Source for 1970-Current: LBMA Gold prices per oz
1959,35.1,Source for 1970-Current: LBMA Gold prices per oz
1960,35.27,Source for 1970-Current: LBMA Gold prices per oz
1961,35.25,Source for 1970-Current: LBMA Gold prices per oz
1962,35.23,Source for 1970-Current: LBMA Gold prices per oz
1963,35.09,Source for 1970-Current: LBMA Gold prices per oz
1964,35.1,Source for 1970-Current: LBMA Gold prices per oz
1965,35.12,Source for 1970-Current: LBMA Gold prices per oz
1966,35.13,Source for 1970-Current: LBMA Gold prices per oz
1967,34.95,Source for 1970-Current: LBMA Gold prices per oz
1968,39.31,Source for 1970-Current: LBMA Gold prices per oz
1969,41.28,Source for 1970-Current: LBMA Gold prices per oz
1970,37.38,Source for 1970-Current: LBMA Gold prices per oz
1971,43.62,Source for 1970-Current: LBMA Gold prices per oz
1972,64.9,Source for 1970-Current: LBMA Gold prices per oz
1973,112.25,Source for 1970-Current: LBMA Gold prices per oz
1974,186.5,Source for 1970-Current: LBMA Gold prices per oz
1975,140.25,Source for 1970-Current: LBMA Gold prices per oz
1976,134.5,Source for 1970-Current: LBMA Gold prices per oz
1977,164.95,Source for 1970-Current: LBMA Gold prices per oz
1978,226.0,Source for 1970-Current: LBMA Gold prices per oz
1979,512.0,Source for 1970-Current: LBMA Gold prices per oz
1980,589.75,Source for 1970-Current: LBMA Gold prices per oz
1981,397.5,Source for 1970-Current: LBMA Gold prices per oz
1982,459.6,Source for 1970-Current: LBMA Gold prices per oz
1983,382.4,Source for 1970-Current: LBMA Gold prices per oz
1984,308.3,Source for 1970-Current: LBMA Gold prices per oz
1985,326.8,Source for 1970-Current: LBMA Gold prices per oz
1986,388.75,Source for 1970-Current: LBMA Gold prices per oz
1987,484.1,Source for 1970-Current: LBMA Gold prices per oz
1988,410.25,Source for 1970-Current: LBMA Gold prices per oz
