Home Price data from Robert Shiller's website.,Unnamed: 1,Unnamed: 2,Unnamed: 3,FRED Graph Observations,Unnamed: 6,Unnamed: 7
,,,,Federal Reserve Economic Data,,
,,,,Link: https://fred.stlouisfed.org,,
,,,,Help: https://fred.stlouisfed.org/help-faq,,
,,,,Economic Research Division,,
,,,,Federal Reserve Bank of St. Louis,,
,,,,CSUSHPINSA,"S&P/Case-Shiller U.S. National Home Price Index, Percent Change from Year Ago of (Index Jan 2000=100), Annual, Not Seasonally Adjusted",
Date,From fig2.1Revised2011.xls,Chg in House Price,,CSUSHPINSA,"S&P/Case-Shiller U.S. National Home Price Index, Percent Change from Year Ago of (Index Jan 2000=100), Annual, Not Seasonally Adjusted",
1890,3.557296,Chg in House Price,,Frequency: Annual,"S&P/Case-Shiller U.S. National Home Price Index, Percent Change from Year Ago of (Index Jan 2000=100), Annual, Not Seasonally Adjusted",
1891,3.209111,-0.09787911942104344,,observation_date,CSUSHPINSA,
1892,3.267142,0.01808320123548235,,1988-01-01 00:00:00,7.22082,0.0722082
1893,3.406416,0.0426286950490673,,1989-01-01 00:00:00,4.3928,0.043928
1894,3.969316,0.1652469927337119,,1990-01-01 00:00:00,-0.6876,-0.006876
1895,3.603721,-0.09210528967711307,,1991-01-01 00:00:00,-0.1698,-0.001698
1896,3.122064,-0.13365546333914313,,1992-01-01 00:00:00,0.81748,0.0081748
1897,3.220717,0.031598647561356774,,1993-01-01 00:00:00,2.1566,0.021566000000000002
1898,3.429628,0.06486474906053541,,1994-01-01 00:00:00,2.51562,0.025156200000000004
1899,3.278748,-0.04399310945676904,,1995-01-01 00:00:00,1.79203,0.0179203
1900,3.748799,0.1433629543960071,,1996-01-01 00:00:00,2.42541,0.024254099999999997
1901,3.145277,-0.16099075997406098,,1997-01-01 00:00:00,4.02209,0.040220900000000004
1902,3.708177,0.17896674919251954,,1998-01-01 00:00:00,6.44236,0.0644236
1903,3.766208,0.01564946872816475,,1999-01-01 00:00:00,7.68049,0.0768049
1904,3.940301,0.04622500934627083,,2000-01-01 00:00:00,9.29156,0.0929156
1905,3.452841,-0.12371136113713144,,2001-01-01 00:00:00,6.67794,0.0667794
1906,4.096984,0.18655449237309218,,2002-01-01 00:00:00,9.56004,0.0956004
1907,4.52061,0.1033994762976862,,2003-01-01 00:00:00,9.81196,0.09811959999999999
1908,4.079575,-0.09756094863303832,,2004-01-01 00:00:00,13.63848,0.1363848
1909,3.986725,-0.02275972374573343,,2005-01-01 00:00:00,13.51043,0.13510429999999998
1910,4.305896,0.08005844396089512,,2006-01-01 00:00:00,1.73341,0.017334099999999998
1911,4.207243,-0.022911143232442144,,2007-01-01 00:00:00,-5.39816,-0.0539816
1912,4.36973,0.038620778500314756,,2008-01-01 00:00:00,-11.99564,-0.1199564
1913,4.36973,0,,2009-01-01 00:00:00,-3.85526,-0.0385526
1914,4.532216,0.03718444846706781,,2010-01-01 00:00:00,-4.1128,-0.041128
1915,4.160818,-0.08194622674647456,,2011-01-01 00:00:00,-3.88532,-0.038853200000000004
1916,4.555429,0.0948397646808874,,2012-01-01 00:00:00,6.43717,0.0643717
1917,4.648278,0.020382054028281527,,2013-01-01 00:00:00,10.71322,0.1071322
1918,4.944236,0.0636704603296101,,2014-01-01 00:00:00,4.5071,0.045071
1919,5.437499,0.09976526201419178,,2015-01-01 00:00:00,5.20002,0.0520002
1920,5.959777,0.09605114410135984,,2016-01-01 00:00:00,5.30445,0.0530445
1921,5.826306,-0.022395301032236636,,2017-01-01 00:00:00,6.20696,0.062069599999999996
1922,5.907549,0.013944169770691905,,2018-01-01 00:00:00,4.51923,0.045192300000000005
