Year,S&P 500,Dividends,Dividend Yield,T.Bond rate,Return on bond,Aaa Bond Rate,Return on Aaa ,Baa Bond Rate,Return on Baa ,Returns on Real Estate
1927,17.66,0.6181000000000001,0.035,0.0317,Return on bond,0.0446,Return on Aaa ,0.053200000000000004,Return on Baa ,Returns on Real Estate
1928,24.35,1.04705,0.043,0.0345,0.008354708589799302,0.0461,0.03279485596639467,0.055999999999999994,0.03219551470232438,0.014910639283360227
1929,21.45,0.87945,0.041,0.0336,0.04203804156320426,0.0467,0.0413918041608565,0.059500000000000004,0.03017856239904043,-0.020568074817057913
1930,15.34,0.72098,0.047,0.0322,0.045409314348970366,0.0452,0.058557414353302785,0.06709999999999999,0.005397809464823829,-0.042999992762481454
1931,8.12,0.4953199999999999,0.061,0.0393,-0.02558855961942253,0.053200000000000004,-0.015625061412875695,0.1042,-0.15680775082667592,-0.0815048218611446
1932,6.92,0.49823999999999996,0.072,0.0335,0.08790306990477326,0.045899999999999996,0.11070808430446419,0.0842,0.23589601675740196,-0.10466427716260551
1933,9.97,0.40877,0.041,0.0353,0.01855272089185736,0.045,0.05302144635939915,0.0775,0.1296689369754826,-0.03811948014411981
1934,9.5,0.3515,0.037,0.0301,0.0796344261796561,0.0381,0.10149829894135538,0.0623,0.18816429268482648,0.029062072752155554
1935,13.43,0.51034,0.038,0.0284,0.04472047729656613,0.0344,0.06896470928924045,0.053,0.1330773186567917,0.09765828063026905
1936,17.18,0.54,0.03143189755529686,0.0259,0.0501787540454506,0.031,0.06325523749892505,0.0453,0.11383815871922703,0.03218606694564885
1937,10.55,0.55915,0.053,0.0273,0.01379146059646038,0.0321,0.021716541759769864,0.057300000000000004,-0.044161916839982614,0.02563398183644594
1938,13.14,0.49932,0.038,0.0256,0.04213248532204607,0.0308,0.04314412650095709,0.0527,0.0923588171368742,-0.008736957906846032
1939,12.46,0.53578,0.043,0.0235,0.04412261394206067,0.0294,0.04277893512866122,0.0492,0.0798313776534614,-0.013016038781753836
1940,10.58,0.55016,0.052,0.0201,0.05402481596284551,0.0271,0.04931305690287914,0.044500000000000005,0.08648137177582957,0.03306602659369329
1941,8.69,0.5387799999999999,0.062,0.0247,-0.020221975848580105,0.027999999999999997,0.019343859466896082,0.0438,0.05007172857275923,-0.08384617036272213
1942,9.77,0.5861999999999999,0.06,0.0249,0.022948682374484164,0.0281,0.027138648440788254,0.042800000000000005,0.051799010426587015,0.033330352361186755
1943,11.67,0.54849,0.047,0.0249,0.0249,0.0274,0.03415116032293629,0.0382,0.08044670060105924,0.11446269728687652
1944,13.28,0.61088,0.046,0.0248,0.025776111579070303,0.027000000000000003,0.03086492118978481,0.0349,0.0656586358825617,0.16584229425872987
1945,17.36,0.67704,0.039,0.0233,0.03804417341923723,0.026099999999999998,0.034832273065963905,0.031,0.06799865477817886,0.11777375604134543
1946,15.3,0.5967,0.039,0.0224,0.031283745375695685,0.026099999999999998,0.026099999999999998,0.0317,0.025080329773195936,0.24101672397677776
1947,15.3,0.7956,0.052,0.0239,0.009196968062832236,0.0286,0.004621314197530965,0.0352,0.0026212022665691934,0.21263835362429684
1948,15.2,0.9728,0.064,0.0244,0.019510369413175046,0.0279,0.03463564893844166,0.0353,0.03436959560510321,0.02058542944115116
1949,16.79,1.1920899999999999,0.071,0.0219,0.04663485182797314,0.0258,0.04620358900096729,0.0331,0.053773011179658936,0.0008937188157245313
1950,20.43,1.53225,0.075,0.0239,0.00429595741710961,0.026699999999999998,0.017991888160641522,0.032,0.042388173056720914,0.036403899622157176
1951,23.77,1.49751,0.063,0.027,-0.0029531392208319886,0.0301,-0.0022878940405443617,0.0361,-0.001909809130136969,0.06047664209538861
1952,26.57,1.5144900000000001,0.057,0.0275,0.022679961918305656,0.0297,0.03351731104908272,0.0351,0.04441241504740077,0.044066304183902893
1953,24.81,1.43898,0.058,0.0259,0.04143840258908851,0.0313,0.0161417791067146,0.0374,0.016201123818443276,0.11516624666555342
1954,35.98,1.8709599999999997,0.052,0.0251,0.032898034558095555,0.028999999999999998,0.05101997366101275,0.0345,0.061579051817707856,0.009227058051774595
