Date,stock_weight,bond_weight,portfolio_value
2020-01-03,0.5,0.5,9877.433278962297
2020-01-06,0.5,0.5,9931.022871111854
2020-01-07,0.5,0.5,9945.49382975488
2020-01-08,0.5,0.5,10049.002647671303
2020-01-09,0.5,0.5,10010.112785234185
2020-01-10,0.5,0.5,9969.117400506875
2020-01-13,0.5,0.5,9994.472554606233
2020-01-14,0.5,0.5,9968.705465729156
2020-01-15,0.5,0.5,9940.152759222052
2020-01-16,0.5,0.5,9985.638691895463
2020-01-17,0.5,0.5,10004.859392912009
2020-01-21,0.5,0.5,9898.289747571767
2020-01-22,0.5,0.5,9892.218895000566
2020-01-23,0.5,0.5,9858.095379355602
2020-01-24,0.5,0.5,9795.47252214882
2020-01-27,0.5,0.5,9631.833827071227
2020-01-28,0.5,0.5,9725.742208857782
2020-01-29,0.5,0.5,9647.069958494554
2020-01-30,0.5,0.5,9617.795664142543
2020-01-31,0.5,0.5,9612.556611232665
2020-02-03,0.5,0.5,9592.21744326833
2020-02-04,0.5,0.5,9757.685436984753
2020-02-05,0.5,0.5,9820.989486198723
2020-02-06,0.5,0.5,9818.141230951042
2020-02-07,0.5,0.5,9717.64294071721
2020-02-10,0.5,0.5,9678.400190049035
2020-02-11,0.5,0.5,9767.546773209817
2020-02-12,0.5,0.5,9812.854727317046
2020-02-13,0.5,0.5,9799.73129330545
2020-02-14,0.5,0.5,9756.521054106677
2020-02-18,0.5,0.5,9692.890260139115
2020-02-19,0.5,0.5,9756.607764974106
2020-02-20,0.5,0.5,9694.679516566905
2020-02-21,0.5,0.5,9598.143961403372
2020-02-24,0.5,0.5,9360.623074900033
2020-02-25,0.5,0.5,9323.643842577289
2020-02-26,0.5,0.5,9212.494587835788
2020-02-27,0.5,0.5,9162.531933050246
2020-02-28,0.5,0.5,8815.068282745313
2020-03-02,0.5,0.5,8992.590486184357
2020-03-03,0.5,0.5,8930.690155122857
2020-03-04,0.5,0.5,8828.694848600559
2020-03-05,0.5,0.5,8704.281455942044
2020-03-06,0.5,0.5,8491.5076001851
2020-03-09,0.5,0.5,8693.706839888831
2020-03-10,0.5,0.5,9093.16311919837
2020-03-11,0.5,0.5,9224.644473589968
2020-03-12,0.5,0.5,9433.585295346362
2020-03-13,0.5,0.5,9736.594787139762
2020-03-16,0.5,0.5,9560.659252332971
2020-03-17,0.5,0.5,10066.855180038947
2020-03-18,0.5,0.5,10586.151416446304
2020-03-19,0.5,0.5,11008.549006355108
2020-03-20,0.5,0.5,11247.700899375921
2020-03-23,0.5,0.5,10874.647477935952
